ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
190,10.1371/journal.pone.0173761,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0173761,Yes,No,-,-,Yes,No,No,No,No,No
191,10.1093/nar/gkn397,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2504312,Yes,No,-,-,Yes,No,No,No,No,No
192,10.1155/2011/386862,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3014715,Yes,No,-,-,Yes,No,No,No,No,No
193,10.1038/ncomms10533,https://www.nature.com/articles/ncomms10533,Yes,No,-,-,Yes,No,No,No,No,No
194,10.1371/journal.pone.0020629,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0020629,Yes,No,-,-,Yes,No,No,No,No,No
195,10.1107/S1744309108037925,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2628856,Yes,No,-,-,Yes,No,No,No,No,No
196,10.1186/1471-2334-5-8,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-5-8,Yes,No,-,-,Yes,No,No,No,No,No
197,10.1371/journal.pone.0070238,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0070238,Yes,No,-,-,Yes,No,No,No,No,No
198,10.18632/oncotarget.15097,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5392264,Yes,No,-,-,Yes,No,No,No,No,No
199,10.1186/s12953-014-0048-z,https://proteomesci.biomedcentral.com/articles/10.1186/s12953-014-0048-z,Yes,No,-,-,Yes,No,No,No,No,No
200,10.1371/journal.pone.0006795,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0006795,Yes,No,-,-,Yes,No,No,No,No,No
201,10.7150/ijms.14769,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4829540,Yes,No,-,-,Yes,No,No,No,No,No
202,10.1038/srep04821,https://www.nature.com/articles/srep04821,Yes,No,-,-,Yes,No,No,No,No,No
203,10.1371/journal.pone.0047090,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0047090,Yes,No,-,-,Yes,No,No,No,No,No
204,10.1371/journal.pone.0050851,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0050851,Yes,No,-,-,Yes,No,No,No,No,No
205,10.1371/journal.pone.0085984,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085984,Yes,No,-,-,Yes,No,No,No,No,No
206,10.1083/jcb.200803013,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2386103,Yes,No,-,-,Yes,No,No,No,No,No
207,10.1038/srep21132,https://www.nature.com/articles/srep21132,Yes,No,-,-,Yes,No,No,No,No,No
208,10.1038/srep41517,https://www.nature.com/articles/srep41517,Yes,No,-,-,Yes,No,No,No,No,No
209,10.1371/journal.pone.0018752,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0018752,Yes,No,-,-,Yes,No,No,No,No,No
210,10.1091/mbc.E14-07-1186,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4325845,Yes,No,-,-,Yes,No,No,No,No,No
211,10.1016/S1674-8301(11)60058-4,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3596724,Yes,No,-,-,Yes,No,No,No,No,No
212,10.1038/s41598-017-01006-w,https://www.nature.com/articles/s41598-017-01006-w,Yes,Yes,10.1038/s41598-017-01006-w,Image Error,Yes,No,No,No,No,No
213,10.1186/s12879-016-1418-1,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-016-1418-1,Yes,No,-,-,Yes,No,No,No,No,No
214,10.1093/hmg/ddv445,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4706110,Yes,No,-,-,Yes,No,No,No,No,No
215,10.1186/1471-2407-9-133,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-9-133,Yes,No,-,-,Yes,No,No,No,No,No
216,10.1371/journal.pgen.1002024,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002024,Yes,No,-,-,Yes,No,No,No,No,No
217,10.1371/journal.pone.0104718,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104718,Yes,No,-,-,Yes,No,No,No,No,No
218,10.1002/cam4.843,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083740,Yes,No,-,-,Yes,No,No,No,No,No
219,10.1016/j.chom.2014.05.020,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4094981,Yes,No,-,-,Yes,No,No,No,No,No
220,10.1038/nature07641,https://www.nature.com/articles/nature07641,Yes,No,-,-,Yes,No,No,No,No,No
221,10.1099/mic.0.040147-0,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068686,Yes,No,-,-,Yes,No,No,No,No,No
222,10.1371/journal.pone.0100843,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0100843,Yes,No,-,-,Yes,No,No,No,No,No
223,10.1186/s13195-016-0206-x,https://alzres.biomedcentral.com/articles/10.1186/s13195-016-0206-x,Yes,No,-,-,Yes,No,No,No,No,No
224,10.18632/oncotarget.7402,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951249,Yes,No,-,-,Yes,No,No,No,No,No
225,10.1242/dmm.013292,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4036476,Yes,No,-,-,Yes,No,No,No,No,No
226,10.7554/eLife.12068,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4805545,Yes,No,-,-,Yes,No,No,No,No,No
227,10.1042/BJ20131061,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969220,Yes,No,-,-,Yes,No,No,No,No,No
228,10.1186/s12917-015-0436-3,https://bmcvetres.biomedcentral.com/articles/10.1186/s12917-015-0436-3,Yes,No,-,-,Yes,No,No,No,No,No
229,10.1371/journal.pone.0029884,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029884,Yes,No,-,-,Yes,No,No,No,No,No
230,10.3390/toxins8070212,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4963845,Yes,No,-,-,Yes,No,No,No,No,No
231,10.1371/journal.pone.0156912,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156912,Yes,No,-,-,Yes,No,No,No,No,No
232,10.15252/embr.201541438,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4818780,Yes,No,-,-,Yes,No,No,No,No,No
233,10.18632/oncotarget.4130,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4673294,Yes,Yes,10.18632/oncotarget.7117,Duplicated Video,Yes,No,No,No,No,No
234,10.1155/2014/813672,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4267462,Yes,No,-,-,Yes,No,No,No,No,No
235,10.1007/s13238-014-0070-z,https://link.springer.com/article/10.1007%2Fs13238-014-0070-z,Yes,No,-,-,Yes,No,No,No,No,No
236,10.15252/embr.201642650,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286359,Yes,No,-,-,Yes,No,No,No,No,No
237,10.1093/nar/gkt935,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902928,Yes,No,-,-,Yes,No,No,No,No,No
238,10.4103/0972-2327.176867,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4888683,Yes,No,-,-,Yes,No,No,No,No,No
239,10.1371/journal.pone.0154102,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0154102,Yes,No,-,-,Yes,No,No,No,No,No
240,10.1038/nbt.3155,https://www.nature.com/articles/nbt.3155,Yes,No,-,-,Yes,No,No,No,No,No
241,10.1038/cddis.2013.25,https://www.nature.com/articles/cddis201325,Yes,No,-,-,Yes,No,No,No,No,No
242,10.1186/1471-2407-1-10,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-1-10,Yes,No,-,-,Yes,No,No,No,No,No
243,10.1155/2016/2828536,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4706924,Yes,No,-,-,Yes,No,No,No,No,No
244,10.1002/jbm.a.35935,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5216444,Yes,No,-,-,Yes,No,No,No,No,No
245,10.1186/s12886-015-0176-y,https://bmcophthalmol.biomedcentral.com/articles/10.1186/s12886-015-0176-y,Yes,No,-,-,Yes,No,No,No,No,No
246,10.1371/journal.pone.0013320,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013320,Yes,No,-,-,Yes,No,No,No,No,No
247,10.1371/journal.pone.0030378,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030378,Yes,No,-,-,Yes,No,No,No,No,No
248,10.18632/oncotarget.6709,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4868724,Yes,No,-,-,Yes,No,No,No,No,No
249,10.1371/journal.pone.0111060,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111060,Yes,No,-,-,Yes,No,No,No,No,No
250,10.1038/aps.2008.2,https://www.nature.com/articles/aps20082,Yes,No,-,-,Yes,No,No,No,No,No
251,10.1007/s11103-007-9274-4,https://link.springer.com/article/10.1007%2Fs11103-007-9274-4,Yes,No,-,-,Yes,No,No,No,No,No
252,10.1371/journal.pone.0061557,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061557,Yes,No,-,-,Yes,No,No,No,No,No
253,10.1038/srep26069,https://www.nature.com/articles/srep26069,Yes,No,-,-,Yes,No,No,No,No,No
254,10.18632/oncotarget.3918,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627341,Yes,No,-,-,Yes,No,No,No,No,No
255,10.1084/jem.20090490,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2715079,Yes,No,-,-,Yes,No,No,No,No,No
256,10.1186/s13041-014-0080-z,https://molecularbrain.biomedcentral.com/articles/10.1186/s13041-014-0080-z,Yes,No,-,-,Yes,No,No,No,No,No
257,10.7554/eLife.15645,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915812,Yes,No,-,-,Yes,No,No,No,No,No
258,10.1186/1471-2407-13-521,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-13-521,Yes,No,-,-,Yes,No,No,No,No,No
259,10.1084/jem.20160833,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5110027,Yes,No,-,-,Yes,No,No,No,No,No
260,10.1186/1743-422X-5-21,https://virologyj.biomedcentral.com/articles/10.1186/1743-422X-5-21,Yes,No,-,-,Yes,No,No,No,No,No
261,10.1155/2016/9652789,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5204095,Yes,No,-,-,Yes,No,No,No,No,No
262,10.1038/cddis.2013.347,https://www.nature.com/articles/cddis2013347,Yes,No,-,-,Yes,No,No,No,No,No
263,10.1038/ncb3230,https://www.nature.com/articles/ncb3230,Yes,No,-,-,Yes,No,No,No,No,No
264,10.1155/2015/893594,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4357047,Yes,No,-,-,Yes,No,No,No,No,No
265,10.1038/bjc.2011.303,https://www.nature.com/articles/bjc2011303,Yes,No,-,-,Yes,No,No,No,No,No
266,10.1111/j.1582-4934.2010.01231.x,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3076550,Yes,No,-,-,Yes,No,No,No,No,No
267,10.1186/1471-2407-13-593,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-13-593,Yes,No,-,-,Yes,No,No,No,No,No
268,10.1534/genetics.115.177899,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4596670,Yes,No,-,-,Yes,No,No,No,No,No
269,10.1186/ar1464,https://arthritis-research.biomedcentral.com/articles/10.1186/ar1464,Yes,No,-,-,Yes,No,No,No,No,No
270,10.1186/s12935-017-0420-z,https://cancerci.biomedcentral.com/articles/10.1186/s12935-017-0420-z,Yes,No,-,-,Yes,No,No,No,No,No
271,10.1111/nph.13747,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5063192,Yes,No,-,-,Yes,No,No,No,No,No
272,10.1371/journal.pone.0085065,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085065,Yes,No,-,-,Yes,No,No,No,No,No
273,10.1091/mbc.E12-10-0721,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3583668,Yes,No,-,-,Yes,No,No,No,No,No
274,10.1083/jcb.200710188,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2542470,Yes,No,-,-,Yes,No,No,No,No,No
275,10.1091/mbc.E11-08-0723,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3315798,Yes,No,-,-,Yes,No,No,No,No,No
276,10.1534/g3.115.026401,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4825652,Yes,No,-,-,Yes,No,No,No,No,No
277,10.1083/jcb.201006089,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3160581,Yes,No,-,-,Yes,No,No,No,No,No
278,10.1371/journal.pone.0015893,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015893,Yes,No,-,-,Yes,No,No,No,No,No
279,10.15252/embj.201490177,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4331003,Yes,No,-,-,Yes,No,No,No,No,No
280,10.1038/cddis.2013.318,https://www.nature.com/articles/cddis2013318,Yes,No,-,-,Yes,No,No,No,No,No
281,10.1371/journal.pone.0034832,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034832,Yes,No,-,-,Yes,No,No,No,No,No
282,10.1091/mbc.E11-04-0300,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3183025,Yes,No,-,-,Yes,No,No,No,No,No
283,10.1152/ajpheart.00017.2008,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2494773,Yes,No,-,-,Yes,No,No,No,No,No
284,10.1016/j.redox.2016.09.015,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5065649,Yes,No,-,-,Yes,No,No,No,No,No
285,10.1002/cam4.345,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4312119,Yes,No,-,-,Yes,No,No,No,No,No
286,10.1371/journal.pone.0083726,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083726,Yes,No,-,-,Yes,No,No,No,No,No
287,10.1186/1472-6882-11-129,https://bmccomplementmedtherapies.biomedcentral.com/articles/10.1186/1472-6882-11-129,Yes,No,-,-,Yes,No,No,No,No,No
288,10.1186/1471-2180-6-45,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/1471-2180-6-45,Yes,No,-,-,Yes,No,No,No,No,No
289,10.1186/s12974-015-0248-1,https://jneuroinflammation.biomedcentral.com/articles/10.1186/s12974-015-0248-1,Yes,No,-,-,Yes,No,No,No,No,No
290,10.1371/journal.pone.0006778,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0006778,Yes,No,-,-,Yes,No,No,No,No,No
291,10.1371/journal.pone.0122839,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122839,Yes,No,-,-,Yes,No,No,No,No,No
292,10.1186/s40104-016-0067-y,https://jasbsci.biomedcentral.com/articles/10.1186/s40104-016-0067-y,Yes,No,-,-,Yes,No,No,No,No,No
293,10.1038/srep29189,https://www.nature.com/articles/srep29189,Yes,No,-,-,Yes,No,No,No,No,No
294,10.3892/ol.2014.2138,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4063616,Yes,No,-,-,Yes,No,No,No,No,No
295,10.1007/s12031-011-9504-8,https://link.springer.com/article/10.1007%2Fs12031-011-9504-8,Yes,No,-,-,Yes,No,No,No,No,No
296,10.1093/nar/gkn1068,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2655671,Yes,No,-,-,Yes,No,No,No,No,No
297,10.1186/1743-422X-7-83,https://virologyj.biomedcentral.com/articles/10.1186/1743-422X-7-83,Yes,No,-,-,Yes,No,No,No,No,No
298,10.1186/1471-2180-10-8,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/1471-2180-10-8,Yes,No,-,-,Yes,No,No,No,No,No
299,10.18632/oncotarget.11315,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312279,Yes,No,-,-,Yes,No,No,No,No,No
300,10.1371/journal.pone.0031051,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031051,Yes,No,-,-,Yes,No,No,No,No,No
301,10.3390/ijms17050703,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4881526,Yes,No,-,-,Yes,No,No,No,No,No
302,10.1371/journal.pbio.1000008,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000008,Yes,No,-,-,Yes,No,No,No,No,No
303,10.1093/jmcb/mjw036,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4991669,Yes,No,-,-,Yes,No,No,No,No,No
304,10.1083/jcb.200909113,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2867303,Yes,No,-,-,Yes,No,No,No,No,No
305,10.1128/mBio.01628-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453564,Yes,No,-,-,Yes,No,No,No,No,No
306,10.1038/bjc.1996.206,https://www.nature.com/articles/bjc1996206,Yes,No,-,-,Yes,No,No,No,No,No
307,10.1038/oncsis.2016.68,https://www.nature.com/articles/oncsis201668,Yes,No,-,-,Yes,No,No,No,No,No
308,10.1038/srep05127,https://www.nature.com/articles/srep05127,Yes,No,-,-,Yes,No,No,No,No,No
309,10.1371/journal.pone.0120551,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120551,Yes,No,-,-,Yes,No,No,No,No,No
310,10.3892/etm.2016.3690,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5103718,Yes,No,-,-,Yes,No,No,No,No,No
311,10.1038/bjc.1997.11,https://www.nature.com/articles/bjc199711,Yes,No,-,-,Yes,No,No,No,No,No
312,10.1371/journal.pone.0061482,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061482,Yes,No,-,-,Yes,No,No,No,No,No
313,10.1093/ofid/ofv116,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4564806,Yes,No,-,-,Yes,No,No,No,No,No
314,10.1371/journal.pbio.1001721,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001721,Yes,No,-,-,Yes,No,No,No,No,No
315,10.1371/journal.pone.0025336,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025336,Yes,No,-,-,Yes,No,No,No,No,No
316,10.1371/journal.pone.0029096,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029096,Yes,No,-,-,Yes,No,No,No,No,No
317,10.1038/emboj.2009.363,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2789941,Yes,No,-,-,Yes,No,No,No,No,No
318,10.1242/bio.012146,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571095,Yes,No,-,-,Yes,No,No,No,No,No
319,10.1038/srep00075,https://www.nature.com/articles/srep00075,Yes,No,-,-,Yes,No,No,No,No,No
320,10.1371/journal.pone.0084379,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0084379,Yes,No,-,-,Yes,No,No,No,No,No
321,10.18632/oncotarget.12407,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5342775,Yes,No,-,-,Yes,No,No,No,No,No
322,10.1186/1471-213X-10-121,https://bmcdevbiol.biomedcentral.com/articles/10.1186/1471-213X-10-121,Yes,No,-,-,Yes,No,No,No,No,No
323,10.1371/journal.pone.0049509,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0049509,Yes,No,-,-,Yes,No,No,No,No,No
324,10.1038/s41598-017-00200-0,https://www.nature.com/articles/s41598-017-00200-0,Yes,No,-,-,Yes,No,No,No,No,No
325,10.1371/journal.pone.0017021,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0017021,Yes,No,-,-,Yes,No,No,No,No,No
326,10.1038/srep15200,https://www.nature.com/articles/srep15200,Yes,No,-,-,Yes,No,No,No,No,No
327,10.1038/srep23550,https://www.nature.com/articles/srep23550,Yes,No,-,-,Yes,No,No,No,No,No
328,10.1371/journal.ppat.1002280,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1002280,Yes,No,-,-,Yes,No,No,No,No,No
329,10.1038/srep12204,https://www.nature.com/articles/srep12204,Yes,No,-,-,Yes,No,No,No,No,No
330,10.1038/cdd.2016.140,https://www.nature.com/articles/cdd2016140,Yes,No,-,-,Yes,No,No,No,No,No
331,10.1038/nm.3495,https://www.nature.com/articles/nm.3495,Yes,No,-,-,Yes,No,No,No,No,No
332,10.7150/jca.16402,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327373,Yes,No,-,-,Yes,No,No,No,No,No
333,10.18632/oncotarget.7537,https://www.oncotarget.com/article/7537/text/,No,No,-,-,No,Yes,No,No,No,No
334,10.18632/oncotarget.1471,https://www.oncotarget.com/article/1471/text/,No,No,-,-,No,Yes,No,No,No,No
335,10.18632/oncotarget.740,https://www.oncotarget.com/article/740/text/,No,No,-,-,No,No,No,No,No,No
336,10.18632/oncotarget.2804,https://www.oncotarget.com/article/2804/text/,No,Yes,10.18632/oncotarget.27233,Image Duplication Across Articles,No,No,No,No,No,No
337,10.18632/oncotarget.10427,https://www.oncotarget.com/article/10427/text/,No,Yes,10.18632/oncotarget.27233,Image Duplication Across Articles,No,No,No,No,No,No
338,10.18632/oncotarget.9515,https://www.oncotarget.com/article/9515/text/,No,No,-,-,No,No,No,No,No,No
339,10.18632/oncotarget.378,https://www.oncotarget.com/article/378/text/,No,Yes,10.18632/oncotarget.27213,Image Manipulation,No,No,No,No,No,No
340,10.18632/oncotarget.6237,https://www.oncotarget.com/article/6237/text/,No,No,-,-,No,No,No,No,No,No
341,10.1089/ars.2011.3982,https://www.liebertpub.com/doi/10.1089/ars.2011.3982,No,Yes,10.1089/ars.2012.4968,Image Error,No,Yes,No,No,No,No
342,10.1089/ars.2006.8.2101,https://www.liebertpub.com/doi/10.1089/ars.2006.8.2101,No,Yes,10.1089/ars.2012.4520,Data Falsification/Fabrication,No,No,No,No,No,No
343,10.1089/ars.2006.1501,https://www.liebertpub.com/doi/10.1089/ars.2006.1501,No,Yes,10.1089/ars.2012.4520,Data Falsification/Fabrication,No,No,No,No,No,No
344,10.1089/scd.2012.0080,https://www.liebertpub.com/doi/10.1089/scd.2012.0080,No,Yes,10.1089/scd.2012.0297,Image Falsification/Fabrication,No,No,No,No,No,No
345,10.1089/hum.2008.145,https://www.liebertpub.com/doi/10.1089/hum.2008.145,No,Yes,10.1089/hum.2010.1312,Image Duplication Across Articles,No,No,No,No,No,No
346,10.1182/blood.v97.1.147,https://ashpublications.org/blood/article/97/1/147/52955/Impaired-survival-of-bone-marrow-hematopoietic,No,Yes,10.1182/blood-2014-07-586784,Data Falsification/Fabrication,No,Yes,No,No,No,No
347,10.1182/blood-2005-07-2669,https://ashpublications.org/blood/article/107/4/1391/133706/Gene-expression-patterns-predict-phenotypes-of,No,Yes,10.1182/blood-2011-08-375030,Data Falsification/Fabrication,No,Yes,No,No,No,No
348,10.1182/blood-2007-03-079616,https://ashpublications.org/blood/article/110/10/3517/23426/Gambogic-acid-a-novel-ligand-for-transferrin,No,Yes,10.1182/blood-2013-03-494385,Image Duplication,No,No,No,No,Yes,Yes
349,10.1182/blood-2008-04-151944,https://ashpublications.org/blood/article/113/9/2003/107984/Modification-of-the-cysteine-residues-in-I-B,No,Yes,10.1182/blood-2013-03-494401,Image Duplication Across Articles,No,Yes,No,No,Yes,Yes
350,10.1182/blood-2004-12-4589,https://ashpublications.org/blood/article/106/2/641/21344/Indole-3-carbinol-suppresses-NF-B-and-I-B-kinase,No,No,-,-,No,Yes,No,No,No,No
351,10.1182/blood-2005-06-2302,https://ashpublications.org/blood/article/107/1/232/21713/The-tyrphostin-adaphostin-interacts,No,Yes,10.1182/blood-2019-05-901215,Image Duplication Across Articles,No,Yes,No,No,Yes,Yes
352,10.1182/blood-2009-12-257261,https://ashpublications.org/blood/article/115/22/4478/27344/The-pan-HDAC-inhibitor-vorinostat-potentiates-the,No,Yes,10.1182/blood-2019-05-901223,Image Duplication Across Articles,No,Yes,No,No,No,No
353,10.1182/blood-2008-01-133710,https://ashpublications.org/blood/article/112/3/519/25302/Osteolineage-niche-cells-initiate-hematopoietic,No,Yes,10.1182/blood-2011-12-401125,Data Falsification/Fabrication,No,No,No,No,No,No
354,pubmed.ncbi.nlm.nih.gov/11518764,https://www.jlr.org/content/42/9/1444.long,No,Yes,10.1194/jlr.M1001444ERR,Image Falsification/Fabrication,No,Yes,No,No,No,No
355,pubmed.ncbi.nlm.nih.gov/22347519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3275434/,No,Yes,-,Image Duplication,No,Yes,No,No,No,No
356,pubmed.ncbi.nlm.nih.gov/25075255,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4113500/,No,No,-,-,No,Yes,No,No,No,No
357,pubmed.ncbi.nlm.nih.gov/11245439,https://cancerres.aacrjournals.org/content/61/4/1386.long,No,Yes,10.1158/0008-5472.CAN-19-2362,Image Duplication,No,No,No,No,No,No
358,pubmed.ncbi.nlm.nih.gov/27429844,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4937733/,No,No,-,-,No,No,No,No,No,No
359,10.3389/fmicb.2016.00312,https://www.frontiersin.org/articles/10.3389/fmicb.2016.00312/full,Yes,No,-,-,No,Yes,No,No,No,No
360,10.3389/fpls.2016.02019,https://www.frontiersin.org/articles/10.3389/fpls.2016.02019/full,No,Yes,10.3389/fpls.2018.00043,Image Duplication,No,No,No,No,Yes,No
361,10.3389/fphar.2017.00871,https://www.frontiersin.org/articles/10.3389/fphar.2017.00871/full,No,Yes,10.3389/fphar.2018.00400,Data Falsification/Fabrication,No,Yes,Yes,Yes,No,No
362,10.3389/fphar.2016.00226,https://www.frontiersin.org/articles/10.3389/fphar.2016.00226/full,No,Yes,10.3389/fphar.2017.00426,Image Duplication; Image Error,No,Yes,No,No,Yes,No
363,10.3389/fphys.2015.00381,https://www.frontiersin.org/articles/10.3389/fphys.2015.00381/full,No,Yes,10.3389/fphys.2017.00724,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
364,10.3389/fphar.2015.00313,https://www.frontiersin.org/articles/10.3389/fphar.2015.00313/full,No,Yes,10.3389/fphar.2016.00199,Image Duplication Across Articles,No,No,No,No,No,No
365,10.3389/fimmu.2018.00709,https://www.frontiersin.org/articles/10.3389/fimmu.2018.00709/full,Yes,No,-,-,No,No,No,No,No,No
366,10.1074/jbc.M113.539411,https://www.jbc.org/content/289/10/7247.full,No,Yes,10.1074/jbc.A113.539411,Image Duplication; Image Falsification/Fabrication; Image Manipulation,No,Yes,No,No,Yes,No
367,10.1074/jbc.M502083200,https://www.jbc.org/content/280/32/29158.full,No,Yes,10.1074/jbc.A117.502083,Image Manipulation,No,Yes,No,No,No,No
368,10.1074/jbc.M605809200,https://www.jbc.org/content/281/41/30917.full,No,Yes,10.1074/jbc.A117.605809,Graph Error,No,Yes,No,No,No,No
369,10.1074/jbc.M511198200,https://www.jbc.org/content/281/17/12132.full,No,Yes,10.1074/jbc.A117.511198,Image Duplication,No,Yes,No,No,No,No
370,10.1074/jbc.M709854200,https://www.jbc.org/content/283/25/17712.full,No,Yes,10.1074/jbc.A108.709854,Image Duplication,No,Yes,Yes,Yes,Yes,No
371,10.1074/jbc.M808084200,https://www.jbc.org/content/284/20/13856.full,No,Yes,10.1074/jbc.A109.808084,Image Duplication,No,Yes,No,No,Yes,No
372,10.1074/jbc.M110.175802,https://www.jbc.org/content/285/47/36865.full,No,Yes,10.1074/jbc.A110.175802,No Information,No,Yes,No,No,No,No
373,10.1074/jbc.M111.255042,https://www.jbc.org/content/286/33/28821.full,No,Yes,10.1074/jbc.A111.255042,Image Duplication,No,Yes,No,No,Yes,No
